Project,Package,Method,SLOC,Complexity,ModifyingCommits,Contributors,MaxExperienced,MinExperienced,MeanExperience,MedianExperience,StdevExperience
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLang295,6,1,4,4,0.3440761078691792,0.024661826242437065,0.12053664905681889,0.056704331057829654,0.15129675004337603
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLang412Right,5,1,3,3,0.3440761078691792,0.024661826242437065,0.1505099328092403,0.08279186431610462,0.17013428057599883
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testLang412Left,5,1,3,3,0.3440761078691792,0.024661826242437065,0.1505099328092403,0.08279186431610462,0.17013428057599883
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAsBuilder,4,1,3,3,0.08279186431610462,0.03061679779955469,0.0529110331780641,0.04532443741853299,0.026902169390506485
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAppendCharBuffer,11,1,1,1,0.04532443741853299,0.04532443741853299,0.04532443741853299,0.04532443741853299,None
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAppendToWriter,7,1,6,4,0.14849168858305223,0.03061679779955469,0.07680619702931113,0.06405815086731881,0.0525965768897759
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAppendToStringBuilder,6,1,2,2,0.14849168858305223,0.04532443741853299,0.0969080630007926,0.0969080630007926,0.0729502628948073
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAppendToStringBuffer,6,1,2,2,0.14849168858305223,0.04532443741853299,0.0969080630007926,0.0969080630007926,0.0729502628948073
commons-lang,org.apache.commons.lang3.text,StrBuilderTest::testAppendToCharBuffer,9,1,1,1,0.04532443741853299,0.04532443741853299,0.04532443741853299,0.04532443741853299,None
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExclude,4,1,3,1,0.08279186431610462,0.08279186431610462,0.08279186431610462,0.08279186431610462,None
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeArray,4,1,4,2,0.08279186431610462,0.04532443741853299,0.06405815086731881,0.06405815086731881,0.02649347163288415
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeArrayWithNull,4,1,2,1,0.08279186431610462,0.08279186431610462,0.08279186431610462,0.08279186431610462,None
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeArrayWithNulls,4,1,3,2,0.08279186431610462,0.04532443741853299,0.06405815086731881,0.06405815086731881,0.02649347163288415
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeCollection,6,1,4,2,0.08279186431610462,0.020239448616992936,0.05151565646654878,0.05151565646654878,0.04423123732044173
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeCollectionWithNull,6,1,4,2,0.08279186431610462,0.020239448616992936,0.05151565646654878,0.05151565646654878,0.04423123732044173
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeCollectionWithNulls,7,1,4,2,0.08279186431610462,0.020239448616992936,0.05151565646654878,0.05151565646654878,0.04423123732044173
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeEmptyArray,4,1,2,1,0.08279186431610462,0.08279186431610462,0.08279186431610462,0.08279186431610462,None
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeEmptyCollection,4,1,4,3,0.08279186431610462,0.020239448616992936,0.04945191678387685,0.04532443741853299,0.031479806890801015
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeNullArray,4,1,2,1,0.08279186431610462,0.08279186431610462,0.08279186431610462,0.08279186431610462,None
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::test_toStringExcludeNullCollection,4,1,3,2,0.08279186431610462,0.020239448616992936,0.05151565646654878,0.05151565646654878,0.04423123732044173
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::validateNonSecretField,4,1,4,3,0.08279186431610462,0.011240118441665507,0.03956460300006907,0.024661826242437065,0.03803265242835347
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::validateSecretFieldAbsent,4,1,3,2,0.08279186431610462,0.011240118441665507,0.04701599137888506,0.04701599137888506,0.05059472471355247
commons-lang,org.apache.commons.lang3.builder,ReflectionToStringBuilderExcludeTest::validateSecretFieldPresent,4,1,3,2,0.08279186431610462,0.011240118441665507,0.04701599137888506,0.04701599137888506,0.05059472471355247
commons-lang,org.apache.commons.lang3.text,StrTokenizerTest::checkClone,4,1,3,2,0.08279186431610462,0.024661826242437065,0.053726845279270845,0.053726845279270845,0.04110414411252252
commons-lang,org.apache.commons.lang3.text,StrTokenizerTest::test1,15,2,10,6,0.14849168858305223,0.0008024740758118746,0.05221873484626738,0.034993131830485025,0.05537687475771354
commons-lang,org.apache.commons.lang3.text,StrTokenizerTest::test2,15,2,10,6,0.14849168858305223,0.0008024740758118746,0.05221873484626738,0.034993131830485025,0.05537687475771354
commons-lang,org.apache.commons.lang3.text,StrTokenizerTest::test3,15,2,10,6,0.14849168858305223,0.0008024740758118746,0.05221873484626738,0.034993131830485025,0.05537687475771354
commons-lang,org.apache.commons.lang3.text,StrTokenizerTest::test4,15,2,11,6,0.14849168858305223,0.0008024740758118746,0.05221873484626738,0.034993131830485025,0.05537687475771354
